Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Organizational studies,OpenAlex,"Organization studies, also referred to as organization science or organizational studies, is the academic field interested in a collective activity, and how it relates to organization, organizing, and management. It is ""the examination of how individuals construct organizational structures, processes, and practices, and how these, in turn, shape social relations and create institutions that ultimately influence people"".",109,"https://doi.org/10.1002/job.322,https://doi.org/10.1177/014920639902500303,https://doi.org/10.5465/amj.2006.21794663"
Well-being,OpenAlex,"Well-being is what is ultimately good for a person. Also called ""welfare"" and ""quality of life"", it is a measure of how well life is going for someone.",109,"https://doi.org/10.1037/0021-9010.90.1.53,https://doi.org/10.1177/014920639902500305,https://doi.org/10.1037/0021-9010.90.2.257"
Interactional justice,OpenAlex,"Interactional justice is defined by sociologist John R. Schermerhorn as the ""degree to which the people affected by decision are treated by dignity and respect"" (Organizational Behavior, 2013). The theory focuses on the interpersonal treatment people receive when procedures are implemented.",102,"https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/014920639001600208"
Facet (psychology),OpenAlex,"In psychology, a facet is a specific and unique aspect of a broader personality trait. Both the concept and the term ""facet"" were introduced by Paul Costa and Robert McCrae in the first edition of the NEO-Personality Inventory (NEO-PI) Manual.",101,"https://doi.org/10.1037/0021-9010.87.3.530,https://doi.org/10.1002/(sici)1099-1379(199805)19:3<235::aid-job837>3.0.co;2-c,https://doi.org/10.1037/0021-9010.91.2.259"
Constructive,OpenAlex,"Constructivism may refer to:   == Art and architecture == Constructivism (art), an early 20th-century artistic movement that extols art as a practice for social purposes Constructivist architecture, an architectural movement in the Soviet Union in the 1920s and 1930s British Constructivists, a group of British artists who were active between 1951 and 1955.",97,"https://doi.org/10.5465/amj.2010.0176,https://doi.org/10.1037/0021-9010.86.2.326,https://doi.org/10.1002/job.242"
Job control,OpenAlex,Job control may refer to:,97,"https://doi.org/10.1016/j.jvb.2006.09.002,https://doi.org/10.1037/0021-9010.88.6.1057,https://doi.org/10.1037/0021-9010.91.2.330"
Workload,OpenAlex,The term workload can refer to several different yet related entities.    == An amount of labor ==  An old definition refers to workload as the amount of work an individual has to do.,96,"https://doi.org/10.1002/job.1924,https://doi.org/10.1016/s0001-8791(03)00042-3,https://doi.org/10.1037/0021-9010.91.4.936"
Work environment,OpenAlex,"A workplace is a location where someone works, for their employer or themselves; a place of employment. Such a place can range from a home office to a large office building or factory.",95,"https://doi.org/10.2307/256995,https://doi.org/10.2307/1556344,https://doi.org/10.1037/0021-9010.80.2.239"
Contextual performance,OpenAlex,Contextual performance is defined as the activities that employees carry out to contribute to the social and psychological functionality of an organisation. It is a component of an individual's job performance.,94,"https://doi.org/10.5465/amj.2010.51468988,https://doi.org/10.1037/0021-9010.87.1.66,https://doi.org/10.1037/0021-9010.85.3.407"
Coaching,OpenAlex,"Coaching is a form of development in which an experienced person, called a coach, supports a learner or client in achieving a specific personal or professional goal by providing training and guidance. The learner is sometimes called a coachee.",93,"https://doi.org/10.1348/096317908x285633,https://doi.org/10.1002/job.4030130206,https://doi.org/10.1016/j.jvb.2003.11.001"
Legitimacy,OpenAlex,"Legitimacy, from the Latin legitimare meaning ""to make lawful"", may refer to:",93,"https://doi.org/10.5465/amj.2011.0405,https://doi.org/10.2307/20159562,https://doi.org/10.5465/amj.2009.0548"
Inter-rater reliability,OpenAlex,"In statistics, inter-rater reliability (also called by various similar names, such as inter-rater agreement, inter-rater concordance, inter-observer reliability, inter-coder reliability, and so on) is the degree of agreement among independent observers who rate, code, or assess the same phenomenon. Assessment tools that rely on ratings must exhibit good inter-rater reliability, otherwise they are not valid tests.",92,"https://doi.org/10.1037/0021-9010.69.1.85,https://doi.org/10.1037/0021-9010.78.2.306,https://doi.org/10.1016/s0149-2063(99)00035-5"
California Psychological Inventory,OpenAlex,"The California Psychological Inventory (CPI) also known as California Personality Inventory is a self-report inventory created by Harrison G. Gough and currently published by Consulting Psychologists Press. The text containing the test was first published in 1956, and the most recent revision was published in 1996.",89,"https://doi.org/10.1006/jvbe.2001.1854,https://doi.org/10.1037/h0053634,https://doi.org/10.1037/0021-9010.89.2.187"
Job insecurity,OpenAlex,"Job security is the probability that an individual will keep their job; a job with a high level of security is such that a person with the job would have a small chance of losing it. Many factors threaten job security: globalization, outsourcing, downsizing, recession, and new technology, to name a few.",89,"https://doi.org/10.2307/256569,https://doi.org/10.1177/0149206317691574,https://doi.org/10.1348/096317901167497"
Organizational behavior and human resources,OpenAlex,"Organizational behavior and human resources (OBHR) is a field of study housed in most business schools that has evolved from the overlap in offerings and objectives from courses taught in organizational behavior and human resource management. Organizational Behavior studies human behavior in social settings with an emphasis on explaining, predicting, and understanding behavior in organizations.",86,"https://doi.org/10.2307/256712,https://doi.org/10.2307/256718,https://doi.org/10.5465/amj.2011.0088"
Human factors and ergonomics,OpenAlex,"Ergonomics, also known as Human Factors or Human Factors Engineering (HFE), is the scientific discipline concerned with the understanding of interactions among humans and other elements of a system, and the profession that applies theory, principles, data, and methods to design in order to optimize human well-being and overall system performance. It involves the application of psychological and physiological principles within the domains of engineering and design, encompassing products, processes, and systems.",84,"https://doi.org/10.1037/a0016172,https://doi.org/10.1037/0021-9010.90.1.77,https://doi.org/10.1111/j.1744-6570.1996.tb01802.x"
Ideology,OpenAlex,"An ideology is a set of beliefs or values attributed to a person or group of persons, especially those held for reasons that are not purely about belief in certain knowledge, in which ""practical elements are as prominent as theoretical ones"". Formerly applied primarily to economic, political, or religious theories and policies, in a tradition going back to Karl Marx and Friedrich Engels, more recent use treats the term as mainly condemnatory.",84,"https://doi.org/10.5465/amj.2007.24162092,https://doi.org/10.1348/096317909x477495,https://doi.org/10.1002/job.112"
Regulatory focus theory,OpenAlex,Regulatory focus theory (RFT) is a theory of goal pursuit formulated by Columbia University psychology professor and researcher E. Tory Higgins regarding people's motivations and perceptions in judgment and decision-making processes. RFT examines the relationship between the motivation of a person and how they go about achieving their goal.,84,"https://doi.org/10.1037/a0012695,https://doi.org/10.5465/amj.2016.1215,https://doi.org/10.5465/amj.2013.0660"
